Filtered Input/Output Average
		Input Average	Output Average
387 Reception Rate 0.750000
388 Reception Rate 0.164975
391 Reception Rate 0.409091
392 Reception Rate 0.364973
395 Reception Rate 0.770270
396 Reception Rate 0.489691
397 Reception Rate 0.969072
400 Reception Rate 0.062500
402 Reception Rate 0.265372
404 Reception Rate 0.052941
406 Reception Rate 0.057971
407 Reception Rate 0.217105
408 Reception Rate 0.096000
409 Reception Rate 0.439655
410 Reception Rate 0.139860
411 Reception Rate 0.644860
413 Reception Rate 0.286458
415 Reception Rate 0.216000
416 Reception Rate 0.844221
417 Reception Rate 0.434211
418 Reception Rate 0.598039
419 Reception Rate 0.185897
421 Reception Rate 0.313253
424 Reception Rate 0.559859
425 Reception Rate 0.057377
426 Reception Rate 0.574074
427 Reception Rate 0.000000
429 Reception Rate 0.081197
430 Reception Rate 0.056701
431 Reception Rate 0.914286
433 Reception Rate 0.723077
434 Reception Rate 0.623188
435 Reception Rate 0.032407
437 Reception Rate 0.746667
439 Reception Rate 0.770563
441 Reception Rate 0.340909
444 Reception Rate 0.446701
446 Reception Rate 0.251429
447 Reception Rate 0.080556
448 Reception Rate 0.946602
449 Reception Rate 0.259036
450 Reception Rate 0.642857
452 Reception Rate 0.125000
453 Reception Rate 0.268421
454 Reception Rate 0.171429
457 Reception Rate 0.277778
459 Reception Rate 0.333333
460 Reception Rate 0.100000
461 Reception Rate 0.206897
462 Reception Rate 0.328767
464 Reception Rate 0.865385
465 Reception Rate 0.594156
466 Reception Rate 0.204545
470 Reception Rate 0.351648
471 Reception Rate 0.268398
472 Reception Rate 0.279503
473 Reception Rate 0.255319
474 Reception Rate 0.102564
477 Reception Rate 0.070000
478 Reception Rate 0.717949
479 Reception Rate 0.610169
480 Reception Rate 0.629870
482 Reception Rate 0.071429
483 Reception Rate 0.660714
484 Reception Rate 0.160714
487 Reception Rate 0.369932
488 Reception Rate 0.287037
490 Reception Rate 0.234568
491 Reception Rate 0.157343
492 Reception Rate 0.580952
493 Reception Rate 0.163043
494 Reception Rate 0.038462
496 Reception Rate 0.096774
498 Reception Rate 0.198347


Max Input : 100.000000, Max Input Position : 87
Min Input : 2.000000, Min Input Position : 387

Max Output : 80.000000, Max Output Position : 431
Min Output : 0.000000, Min Output Position : 30

Best Reception Rate : 0.989474, Best Reception Rate Position : 373
Worst Reception Rate : 0.000000, Worst Reception Rate Position : 30

max recent 10 input position : 165-177, value : 724.666667
max recent 10 output position : 45-57, value : 272.500000
